,PostalCode,Neighborhood,Jabalpur,Latitude,Longitude
40,482001 ,Dixitpura,Jabalpur ,23.149730000000034,79.94482074000007
41,482011 ,Engineering College,Jabalpur ,23.19730000000004,79.99588568900003
42,483113 ,Gadaghat,Jabalpur ,23.325300000000027,79.73652158400006
43,483119 ,Gadar Pipariya,Jabalpur ,23.17612500000007,79.48354887500005
44,482003 ,Gangai Badkheda,Jabalpur ,23.049765000000036,79.69894496700005
45,482003 ,Gangai Bijori,Jabalpur ,23.049765000000036,79.69894496700005
46,482001 ,Gangai Padaria,Jabalpur ,23.149730000000034,79.94482074000007
47,482002 ,Ganjipura,Jabalpur ,23.244950000000074,79.89552284000007
48,482003 ,Garha,Jabalpur ,23.049765000000036,79.69894496700005
49,482003 ,Garha Bazar,Jabalpur ,23.049765000000036,79.69894496700005
50,482002 ,Garha Phatak,Jabalpur ,23.244950000000074,79.89552284000007
51,482021 ,Gauraiyaghat,Jabalpur ,23.03093034400007,79.97768000000008
52,483110 ,Gauri,Jabalpur ,23.23222000000004,80.37146371800003
53,482003 ,Ghat Piparia,Jabalpur ,23.049765000000036,79.69894496700005
54,483110 ,Ghughara,Jabalpur ,23.23222000000004,80.37146371800003
55,482002 ,Gohalpur,Jabalpur ,23.244950000000074,79.89552284000007
56,482011 ,Gokulpur,Jabalpur ,23.19730000000004,79.99588568900003
57,483119 ,Gubra Kala,Jabalpur ,23.17612500000007,79.48354887500005
58,482001 ,Gun Shop,Jabalpur ,23.149730000000034,79.94482074000007
59,482001 ,Gupteshwar,Jabalpur ,23.149730000000034,79.94482074000007
60,482002 ,Gurandi Bazar,Jabalpur ,23.244950000000074,79.89552284000007
61,482008 ,Gwarighat,Jabalpur ,23.124315000000024,79.91541231000008
62,482001 ,H.R.lines,Jabalpur ,23.149730000000034,79.94482074000007
63,482002 ,Hanumantal,Jabalpur ,23.244950000000074,79.89552284000007
64,483110 ,Harduli,Jabalpur ,23.23222000000004,80.37146371800003
65,482051 ,Harrai,Jabalpur ,22.979390000000024,79.83070993900003
66,482001 ,Hathital,Jabalpur ,23.149730000000034,79.94482074000007
67,482007 ,High Court,Jabalpur ,23.174180000000035,79.93136000000004
68,483001 ,Hinotia Bhoi,Jabalpur ,23.102175000000045,80.10621509500004
69,482001 ,Howbagh,Jabalpur ,23.149730000000034,79.94482074000007
70,482002 ,I.T.i.,Jabalpur ,23.244950000000074,79.89552284000007
71,483220 ,Imlai,Jabalpur ,23.30243500000006,80.07077874800007
72,482001 ,Jabalpur,Jabalpur ,23.149730000000034,79.94482074000007
73,482001 ,Jabalpur Cantt,Jabalpur ,23.149730000000034,79.94482074000007
74,482001 ,Jabalpur City,Jabalpur ,23.149730000000034,79.94482074000007
75,482011 ,Jabalpur Factory,Jabalpur ,23.19730000000004,79.99588568900003
76,482001 ,Jeewan Bima nigam,Jabalpur ,23.149730000000034,79.94482074000007
77,483110 ,Jhiria,Jabalpur ,23.23222000000004,80.37146371800003
78,483110 ,Jhirmila,Jabalpur ,23.23222000000004,80.37146371800003
79,482002 ,Jonesganj,Jabalpur ,23.244950000000074,79.89552284000007
80,482021 ,Kailwas,Jabalpur ,23.03093034400007,79.97768000000008
81,482051 ,Kaladehi,Jabalpur ,22.979390000000024,79.83070993900003
82,483220 ,Kaladumar,Jabalpur ,23.30243500000006,80.07077874800007
83,482002 ,Kamala Nehru nagar,Jabalpur ,23.244950000000074,79.89552284000007
84,482004 ,Kanchanpur,Jabalpur ,23.21973500000007,79.94580642200003
85,482001 ,Karmeta,Jabalpur ,23.149730000000034,79.94482074000007
86,483110 ,Kastara,Jabalpur ,23.23222000000004,80.37146371800003
87,482001 ,Kasturba Nagar,Jabalpur ,23.149730000000034,79.94482074000007
88,483105 ,Katangi,Jabalpur ,23.371559000000047,79.82753500000007
89,483113 ,Katra Belkheda,Jabalpur ,23.325300000000027,79.73652158400006
90,483113 ,Khairi,Jabalpur ,23.325300000000027,79.73652158400006
91,482004 ,Khajri,Jabalpur ,23.21973500000007,79.94580642200003
92,482005 ,Khamaria,Jabalpur ,23.19024769300006,80.03902500000004
93,482005 ,Khamaria Market,Jabalpur ,23.19024769300006,80.03902500000004
94,482021 ,Khamaria Neemkheda,Jabalpur ,23.03093034400007,79.97768000000008
95,483222 ,Khinni,Jabalpur ,23.404825000000073,80.10677888400005
96,483220 ,Khirahani,Jabalpur ,23.30243500000006,80.07077874800007
